Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Aa,Native,0.144803148,0.184223652,0.6709732,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,23.86764908,99.38421395,22,0.19,0.631578947
Aa,Non-native,0.111212863,0.147876846,0.740910291,France,Palearctic,2.049219724,50.78136488,1200.364626,10.23535192,489.0897052,23.86764908,99.38421395,22,0.19,0.631578947
Abant.lake,Native,0.501130065,0.030881586,0.467988348,Turkey,Palearctic,31.28030722,40.60649392,1.975470083,7.675000032,684.9399821,7.645078301,NA,1,0.5,0.42
Abashiri,Native,0.116067761,0.162430091,0.721502147,Japan,Palearctic,144.0741545,43.70735402,1387.665409,5.264461776,1021.975197,7.461684108,99.84752637,3,0.36,0.722222222
Abhe.Bad,Native,0.144625233,0.367540685,0.487834083,Ethiopia,Afrotropic,40.59740531,10.15982422,103626.8451,23.42516523,230.0987145,0.583349124,97.76842261,11,0.47,0.914893617
Abogain.Gol,Native,0.122725197,0.394819795,0.482455008,China,Palearctic,112.583602,41.98166133,9993.350371,3.838287118,1279.570061,0.534983069,97.98512154,6,0.94,0.021276596
Abu.gawa,Native,0.201601517,0.362773341,0.435625141,Japan,Palearctic,131.5542186,34.36145766,641.2013757,13.451096,799.1237869,25.28127003,92.66682131,8,0.28,0.535714286
Abukuma,Native,0.073062813,0.252249141,0.674688045,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,50.16905022,97.17836778,6,0.28,0.5
Abukuma,Non-native,0.19886665,0.395301743,0.405831608,Japan,Palearctic,140.4631208,37.61083179,5362.643425,10.68777482,848.2278009,50.16905022,97.17836778,6,0.28,0.5
Abula,Native,0.202360383,0.188374559,0.609265058,Estonia,Palearctic,22.16684369,58.42591262,17.51000425,6.588541687,724.6812943,0.354752928,99.96665,5,0.36,0.222222222
Acaponeta,Native,0.174788889,0.416537723,0.408673388,Mexico,Neotropic,-105.236757,23.19464233,5511.705653,18.81869992,288.1016507,1.441855758,99.91433385,16,0.46,0.847826087
Aceh,Native,0.08321814,0.33003466,0.5867472,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2.092018545,99.72502537,14,0.32,0.625
Aceh,Non-native,0.011827248,0.044107084,0.944065669,Indonesia,Indo-Malay,95.56732362,5.318811898,1603.968673,25.06691933,49.76832722,2.092018545,99.72502537,14,0.32,0.625
Acheloos,Native,0.153061053,0.306562216,0.540376731,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,6.078314781,87.98760143,20,0.39,0.794871795
Acheloos,Non-native,0.190676933,0.1237415,0.685581568,Greece,Palearctic,21.48447586,38.99904113,5821.728156,12.09962599,658.0536681,6.078314781,87.98760143,20,0.39,0.794871795
Acisu,Native,0.032011463,0.170280511,0.797708026,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,3.345977008,99.40823574,7,0.53,0.641509434
Acisu,Non-native,0.638064753,0.361935247,0,Turkey,Palearctic,31.06264501,36.96701519,297.3496756,17.79621733,704.7491344,3.345977008,99.40823574,7,0.53,0.641509434
Aconcagua,Native,0.089627861,0.402167351,0.508204788,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,7.234971046,99.50628836,16,0.44,0.477272727
Aconcagua,Non-native,0.289620153,0.210575175,0.499804671,Chile,Neotropic,-70.65645485,-32.77064478,7318.876825,8.534749744,397.0020272,7.234971046,99.50628836,16,0.44,0.477272727
Actopan,Native,0.303687538,0.362082734,0.334229728,Mexico,Neotropic,-96.72393808,19.54750154,1975.467334,20.97591835,216.30531,11.94144034,99.77543087,20,0.33,0.303030303
Adako.un,Native,0.088870984,0.580093613,0.331035403,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,62.14790344,NA,8,0.27,0.37037037
Adako.un,Non-native,0,0.128673395,0.871326605,Japan,Palearctic,136.8981253,34.39478287,11.68668062,15.7569444,729.7255737,62.14790344,NA,8,0.27,0.37037037
Adana,Native,0.071470361,0.379062718,0.549466921,Yemen,Afrotropic,46.64939835,15.06272171,36991.59931,26.00981274,455.553174,0.949564219,99.67544358,3,0.88,0.068181818
Adelaide,Native,0.151847685,0.338090427,0.510061888,Australia,Australasia,131.3092195,-13.00415543,7329.225899,27.28433176,197.869342,0.216620315,99.58736274,61,0.6,0.55
Adige,Native,0.130208273,0.287417583,0.582374145,Italy,Palearctic,11.33185941,46.2339395,14631.20888,6.361121801,679.3131537,34.47934532,95.58265694,18,0.33,0.848484848
Adige,Non-native,0.170195302,0.080997606,0.748807092,Italy,Palearctic,11.33185941,46.2339395,14631.20888,6.361121801,679.3131537,34.47934532,95.58265694,18,0.33,0.848484848
