"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Tellia_apoda",2.474578823,180.5796434,1,0.53747318,1.401325446,5,2.940000057,0.620000005
"Rhexipanchax_schiotzi",1.51374554258211,67.170772312372,1,0.46810812814557,1.26474430929714,4,3.150000095,1.35740155761835
"Rhexipanchax_nimbaensis",1.176221882,37.52533335,3,0.401951824,1.148845112,5,3.180000067,1.2908030840315
"Rhexipanchax_lamberti",1.57558289576187,74.0357414449022,1,0.473651748790102,1.25837156610766,4.5,3.180000067,1.24792337958955
"Rhexipanchax_kabae",1.57558289576187,74.0357414449022,1,0.473651748790102,1.25837156610766,4.5,3.180000067,1.24792337958955
"Procatopus_similis",1.209924025,40.11919885,1,0.426820483,1.076509776,6,3.24000001,0.983777889756534
"Procatopus_nototaenia",1.201562553,40.71363782,1,0.42365297,1.020974248,6,3.24000001,0.996064218000261
"Procatopus_aberrans",1.228353352,44.47155525,1,0.428382352,1.078435653,5.5,3.220000029,1.05049941293641
"Poropanchax_stigmatopygus",1.36985134766207,52.7005516313559,2,0.454728415735273,1.28139235007167,2.960000038,3.089999914,1.68473390486977
"Poropanchax_scheeli",1.130089465,31.04179595,3,0.395403784,1.164209431,4,3.150000095,1.51113463333681
"Poropanchax_rancureli",1.63125418972666,80.5497762238333,1,0.478434109583927,1.25260770421456,5,3.200000048,1.15695296533795
"Poropanchax_normani",1.194335386,39.19263498,3,0.413955584,1.158116575,4.5,3.349999905,1.40975758343214
"Poropanchax_luxophthalmus",1.242472968,42.10417625,1,0.429587695,1.156350447,4,3.150000095,1.30273957425295
"Platypanchax_modestus",1.182157303,40.91084677,3,0.415067679,1.172278635,6,3.24000001,1.12880044540844
"Plataplochilus_terveri",1.68377262344044,86.9946548542433,1,0.482861134348,1.24743919584867,5.5,3.220000029,1.08051468664959
"Plataplochilus_ngaensis",1.127339126,34.84321156,3,0.398743706,1.133420804,5,3.200000048,1.29616801220264
"Plataplochilus_miltotaenia",1.63125418972666,80.5497762238333,1,0.478434109583927,1.25260770421456,5,3.200000048,1.15695296533795
"Plataplochilus_cabindae",1.63125418972666,80.5497762238333,1,0.478434109583927,1.25260770421456,5,3.200000048,1.15695296533795
"Paraphanius_mento",2.433630249,167.4007118,1,0.527948767,1.42267351,5,2.940000057,0.620000005
"Pantanodon_stuhlmanni",1.174009001,36.6664559,3,0.419277366,1.203012289,5,3.119999886,1.2715984137224
"Micropanchax_rudolfianus",1.37538192286379,53.2174444730235,2,0.455230933180752,1.2806096626867,3,3.089999914,1.66828317496893
"Micropanchax_pfaffi",1.44741146119444,60.241746331526,2,0.462021083162775,1.2720570928851,3.5,3.119999886,1.49355149120356
"Micropanchax_loati",1.51374554258211,67.170772312372,1,0.46810812814557,1.26474430929714,4,3.150000095,1.35740155761835
"Micropanchax_kingii",1.107564905,29.28132773,3,0.395272193,1.15423612,4,3.150000095,1.51273567936153
"Micropanchax_keilhacki",1.29377754357578,45.86848813007,2,0.447171259726514,1.29073187790364,2.5,3.049999952,1.9008714281016
"Micropanchax_johnstoni",1.176561213,36.34624877,1,0.415457466,1.155831961,8.5,3.200000048,0.74409200664505
"Micropanchax_fuelleborni",1.098773203,29.6639298,3,0.393382798,1.139570597,3.5,3.119999886,1.67375788677493
"Micropanchax_ehrichi",1.51374554258211,67.170772312372,1,0.46810812814557,1.26474430929714,4,3.150000095,1.35740155761835
"Micropanchax_camerunensis",1.37538192286379,53.2174444730235,2,0.455230933180752,1.2806096626867,3,3.089999914,1.66828317496893
"Micropanchax_bracheti",1.51374554258211,67.170772312372,1,0.46810812814557,1.26474430929714,4,3.150000095,1.35740155761835
"Micropanchax_antinorii",1.175378373,33.97175656,3,0.411941606,1.176691454,4.5,3.180000067,1.38444210999871
"Lamprichthys_tanganicanus",1.171231695,36.47483793,2,0.401519298,1.148769069,18.3,3.49000001,0.472485018341986
"Lacustricola_vitschumbaensis",0.989281981,22.79563308,1,0.368584684,1.115813438,5.5,2.940000057,1.01373852477874
"Lacustricola_usanguensis",1.35097077047032,50.8955360541501,2,0.451621714569102,1.27909329591441,3,2.980000019,1.655501986684
"Lacustricola_pumilus",1.042239369,26.1647804,1,0.383851719,1.111443091,5.5,2.940000057,1.01603444599517
"Lacustricola_omoculatus",1.41260378519716,56.6972953301797,2,0.457049056510144,1.2700101206698,3.5,2.970000029,1.47801929648404
"Lacustricola_nigrolateralis",1.004540646,22.95641254,3,0.370937298,1.122142571,4,2.960000038,1.49882846748211
"Lacustricola_myaposae",1.005611879,22.22082535,3,0.369650071,1.099231384,5.5,2.579999924,1.15230748335396
"Lacustricola_moeruensis",1.018930262,24.6754417,1,0.376421535,1.131152046,4,2.960000038,1.28443580533447
"Lacustricola_mediolateralis",1.004923232,23.42120173,3,0.374791624,1.105202489,5,2.950000048,1.27315378980701
"Lacustricola_matthesi",1.002211602,24.21439643,3,0.367024286,1.108490618,3.880000114,2.960000038,1.54023578260261
"Lacustricola_macrurus",0.991207816,23.03998337,1,0.362477262,1.102240238,5,2.950000048,1.09245414552048
"Lacustricola_lualabaensis",1.46792660904057,62.2196497412835,1,0.461756382496157,1.26217505318555,4,2.960000038,1.33960168002891
"Lacustricola_kongoranensis",1.46792660904057,62.2196497412835,1,0.461756382496157,1.26217505318555,4,2.960000038,1.33960168002891
"Lacustricola_katangae",3,23.81031207,1,1,1.104174542,5,3.279999971,1.04881708236842
"Lacustricola_jeanneli",1.41260378519716,56.6972953301797,2,0.457049056510144,1.2700101206698,3.5,2.970000029,1.47801929648404
"Lacustricola_hutereaui",1.106414811,30.99894173,3,0.39547332,1.162807179,3.5,2.970000029,1.65083634102781
"Lacustricola_centralis",0.95757818,21.28744093,3,0.358790997,1.11111315,3.3,2.970000029,1.7353926846573
"Lacustricola_bukobanus",1.0626322,27.96133198,1,0.391758203,1.132435674,5,2.950000048,1.08823326788465
"Laciris_pelagica",1.91004926464117,118.182038504628,1,0.501003735653366,1.22744936820764,8,3.309999943,0.826442950781441
"Kosswigichthys_asquamatus",2.446177867,167.91388,1,0.525431107,1.405972683,4,2.950000048,0.75999999
"Hypsopanchax_zebra",1.130817536,34.8625508,3,0.404259623,1.142633987,5.5,3.220000029,1.20645046776932
"Hypsopanchax_platysternus",1.68377262344044,86.9946548542433,1,0.482861134348,1.24743919584867,5.5,3.220000029,1.08051468664959
"Hypsopanchax_jubbi",1.146468875,36.73405577,3,0.404250752,1.145462376,5,3.200000048,1.29411134344026
"Hypsopanchax_jobaerti",1.57558289576187,74.0357414449022,1,0.473651748790102,1.25837156610766,4.5,3.180000067,1.24792337958955
"Hylopanchax_stictopleuron",1.44741146119444,60.241746331526,2,0.462021083162775,1.2720570928851,3.5,3.119999886,1.49355149120356
"Hylopanchax_silvestris",1.61940233829791,79.1394359757574,1,0.477478737045475,1.25399356464788,4.880000114,3.200000048,1.17768232695762
