"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Tellia_apoda",0,0,0,0,0,0,0,0
"Rhexipanchax_schiotzi",8.80389844311721,100134.39858239,0.744968873751657,0.28413417758981,0.699597176519552,0,0,1.96915554521065
"Rhexipanchax_nimbaensis",0,0,0,0,0,0,0,1.70500316088964
"Rhexipanchax_lamberti",9.53787847332512,121648.139287748,0.741306488025621,0.290903805514186,0.692564733956514,0,0,1.66432899304981
"Rhexipanchax_kabae",9.53787847332512,121648.139287748,0.741306488025621,0.290903805514186,0.692564733956514,0,0,1.66432899304981
"Procatopus_similis",0,0,0,0,0,0,0,0.990374192900413
"Procatopus_nototaenia",0,0,0,0,0,0,0,1.01526608273614
"Procatopus_aberrans",0,0,0,0,0,0,0,1.12926749575301
"Poropanchax_stigmatopygus",7.20968270529849,61638.6236180079,0.754212257309273,0.268123759371011,0.718136224023726,0,0,3.03337405824031
"Poropanchax_scheeli",0,0,0,0,0,0,0,2.33674605415731
"Poropanchax_rancureli",10.2238048145967,143996.28463687,0.738132854300402,0.296807849161422,0.686234798469754,0,0,1.4305226658157
"Poropanchax_normani",0,0,0,0,0,0,0,2.03373366890789
"Poropanchax_luxophthalmus",0,0,0,0,0,0,0,1.73668243610598
"Platypanchax_modestus",0,0,0,0,0,0,0,1.30388576418673
"Plataplochilus_terveri",10.8927154144235,167960.728201959,0.735251675977502,0.302326079817223,0.680583399391483,0,0,1.24774168599557
"Plataplochilus_ngaensis",0,0,0,0,0,0,0,1.71920552557102
"Plataplochilus_miltotaenia",10.2238048112913,143996.284590309,0.738132854061777,0.29680784906547,0.686234798247908,0,0,1.43052266536029
"Plataplochilus_cabindae",10.2238048112913,143996.284590309,0.738132854061777,0.29680784906547,0.686234798247908,0,0,1.43052266536029
"Paraphanius_mento",0,0,0,0,0,0,0,0
"Pantanodon_stuhlmanni",0,0,0,0,0,0,0,1.65464623051562
"Micropanchax_rudolfianus",7.26801630595727,62853.6700280705,0.753832328969308,0.268716690291103,0.717259201698835,0,0,2.97442399299601
"Micropanchax_pfaffi",8.04921047171075,80541.1295151155,0.749095689505647,0.276792743176052,0.707710741779408,0,0,2.38398619133759
"Micropanchax_loati",8.8038984345783,100134.398485255,0.744968873029154,0.284134177314245,0.699597175841057,0,0,1.96915554332997
"Micropanchax_kingii",0,0,0,0,0,0,0,2.34170023693404
"Micropanchax_keilhacki",6.43114773907714,46692.9659224443,0.759538333919714,0.259285886699403,0.728642756763057,0,0,3.86161365654201
"Micropanchax_johnstoni",0,0,0,0,0,0,0,0.566576396215615
"Micropanchax_fuelleborni",0,0,0,0,0,0,0,2.86675429718349
